Nr_Proby;Algorytm;Struktura;Typ_Danych;Rozmiar;Pivot;Shell_Option;Distribution;Czas_ms
8;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;5.4907
9;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;5.1217
10;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;4.8521
11;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;4.9456
12;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;4.9597
13;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;5.2175
14;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;4.995
15;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;5.2431
16;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;4.8834
17;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;5.4313
18;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;5.2884
19;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;5.4781
20;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;5.3786
21;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;5.889
22;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;7.4025
23;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;5.466
24;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;5.1978
25;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;5.6973
26;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;5.9586
27;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;6.5705
28;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;7.1595
29;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;6.4815
30;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;6.0126
31;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;8.5154
32;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;6.305
33;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;9.4964
34;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;11.7691
35;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;12.6617
36;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;11.7274
37;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;12.0574
